0	86730776	45039031	2
0	-1	-1	-1
1370	-1	-1	-1
1	86730776	45039835	3
0	-1	-1	-1
1375	-1	-1	-1
1376	-1	-1	-1
2	86793878	45090235	2
1	-1	-1	-1
5789	-1	-1	-1
3	86794121	45090702	2
1	-1	-1	-1
3994	-1	-1	-1
4	86756877	45044435	4
2	-1	-1	-1
3566	-1	-1	-1
3567	-1	-1	-1
3568	-1	-1	-1
5	86757477	45044424	2
2	-1	-1	-1
5963	-1	-1	-1
6	86698074	45031935	3
3	-1	-1	-1
7	-1	-1	-1
8	-1	-1	-1
7	86696874	45031935	1
3	-1	-1	-1
8	86698074	45033535	4
4	-1	-1	-1
7	-1	-1	-1
9	-1	-1	-1
10	-1	-1	-1
9	86696774	45033435	1
4	-1	-1	-1
10	86697874	45030835	3
5	-1	-1	-1
6	-1	-1	-1
59	-1	-1	-1
11	86696974	45030935	1
5	-1	-1	-1
12	86700374	45030935	3
6	-1	-1	-1
13	-1	-1	-1
69	-1	-1	-1
13	86699374	45031935	3
8	-1	-1	-1
11	-1	-1	-1
12	-1	-1	-1
14	86699374	45033535	4
9	-1	-1	-1
11	-1	-1	-1
14	-1	-1	-1
15	-1	-1	-1
15	86698174	45034535	4
10	-1	-1	-1
16	-1	-1	-1
19	-1	-1	-1
20	-1	-1	-1
16	86700675	45031935	3
12	-1	-1	-1
60	-1	-1	-1
61	-1	-1	-1
17	86701375	45032035	3
13	-1	-1	-1
60	-1	-1	-1
62	-1	-1	-1
18	86699374	45034535	4
14	-1	-1	-1
20	-1	-1	-1
23	-1	-1	-1
24	-1	-1	-1
19	86700675	45033535	4
15	-1	-1	-1
61	-1	-1	-1
63	-1	-1	-1
64	-1	-1	-1
20	86696874	45034435	1
16	-1	-1	-1
21	86698074	45035435	4
17	-1	-1	-1
19	-1	-1	-1
21	-1	-1	-1
22	-1	-1	-1
22	86696874	45035435	1
17	-1	-1	-1
23	86697974	45037135	3
18	-1	-1	-1
22	-1	-1	-1
27	-1	-1	-1
24	86696774	45036735	1
18	-1	-1	-1
25	86699375	45035435	4
21	-1	-1	-1
23	-1	-1	-1
25	-1	-1	-1
26	-1	-1	-1
26	86700675	45034535	4
24	-1	-1	-1
64	-1	-1	-1
131	-1	-1	-1
132	-1	-1	-1
27	86699275	45037235	3
25	-1	-1	-1
29	-1	-1	-1
32	-1	-1	-1
28	86700675	45035435	4
26	-1	-1	-1
132	-1	-1	-1
134	-1	-1	-1
135	-1	-1	-1
29	86698875	45037235	3
27	-1	-1	-1
28	-1	-1	-1
29	-1	-1	-1
30	86698875	45039035	3
28	-1	-1	-1
30	-1	-1	-1
31	-1	-1	-1
31	86700375	45039035	4
30	-1	-1	-1
33	-1	-1	-1
35	-1	-1	-1
36	-1	-1	-1
32	86697375	45041335	3
31	-1	-1	-1
39	-1	-1	-1
40	-1	-1	-1
33	86700575	45037235	4
32	-1	-1	-1
33	-1	-1	-1
34	-1	-1	-1
134	-1	-1	-1
34	86701775	45037235	4
